,Hour_of_day,Day_date,Pickup_time,NumofPickups,min,X.1,Date,Time..EST.,Temp.,Visibility,Precip,Conditions,Day_of_week,Month,Week,X,Date_1,one_week_lag_pickups,isholiday,hour_min
337,0,1/8/2015,1/8/2015 0:00,5880,0,169,1/8/2015,0:51:00,-12.8,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 0:51,12182,0,0-0
338,0,1/8/2015,1/8/2015 0:30,4546,30,169,1/8/2015,0:51:00,-12.8,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 0:51,16130,0,0-30
339,1,1/8/2015,1/8/2015 1:00,3440,0,170,1/8/2015,1:51:00,-12.8,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 1:51,16296,0,Jan-00
340,1,1/8/2015,1/8/2015 1:30,2592,30,170,1/8/2015,1:51:00,-12.8,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 1:51,15411,0,30-Jan
341,2,1/8/2015,1/8/2015 2:00,1994,0,171,1/8/2015,2:51:00,-12.8,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 2:51,14340,0,Feb-00
342,2,1/8/2015,1/8/2015 2:30,1611,30,171,1/8/2015,2:51:00,-12.8,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 2:51,13728,0,Feb-30
343,3,1/8/2015,1/8/2015 3:00,1223,0,172,1/8/2015,3:51:00,-12.8,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 3:51,12783,0,Mar-00
344,3,1/8/2015,1/8/2015 3:30,1220,30,172,1/8/2015,3:51:00,-12.8,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 3:51,11505,0,30-Mar
345,4,1/8/2015,1/8/2015 4:00,1214,0,173,1/8/2015,4:51:00,-12.8,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 4:51,10042,0,Apr-00
346,4,1/8/2015,1/8/2015 4:30,1046,30,173,1/8/2015,4:51:00,-12.8,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 4:51,7039,0,30-Apr
347,5,1/8/2015,1/8/2015 5:00,1326,0,174,1/8/2015,5:51:00,-12.2,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 5:51,5083,0,May-00
348,5,1/8/2015,1/8/2015 5:30,2677,30,174,1/8/2015,5:51:00,-12.2,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 5:51,4029,0,30-May
349,6,1/8/2015,1/8/2015 6:00,4243,0,175,1/8/2015,6:51:00,-12.2,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 6:51,3356,0,Jun-00
350,6,1/8/2015,1/8/2015 6:30,7823,30,175,1/8/2015,6:51:00,-12.2,16.1,0,Partly Cloudy,5,1,2,NA,1/8/2015 6:51,3281,0,30-Jun
